student_id,attendance_rate,lms_logins,gpa,first_semester,first_gen,commuter,good_standing
S-001,25.7,37,2.57,No,Yes,Yes,No
S-002,16.8,12,2.83,No,No,Yes,No
S-003,80.8,33,3.19,No,Yes,Yes,Yes
S-004,86.7,22,,Yes,No,Yes,Yes
S-005,99.0,35,3.0,No,Yes,No,Yes
S-006,83.4,63,2.69,No,Yes,Yes,Yes
S-007,88.7,5,2.91,No,No,No,Yes
S-008,76.7,56,3.35,No,No,Yes,Yes
S-009,93.6,53,2.77,No,Yes,No,Yes
S-010,96.0,5,2.39,No,No,No,Yes
S-011,88.7,48,2.72,No,Yes,No,Yes
S-012,88.7,41,,Yes,No,No,Yes
S-013,76.0,57,,Yes,Yes,No,Yes
S-014,92.9,9,2.97,No,Yes,Yes,Yes
S-015,94.1,47,3.34,No,No,No,Yes
S-016,94.3,42,2.65,No,Yes,No,Yes
S-017,93.6,39,2.92,No,No,No,Yes
S-018,81.5,53,3.56,No,No,No,Yes
S-019,93.0,30,,Yes,Yes,Yes,Yes
S-020,88.9,70,,Yes,Yes,Yes,Yes
S-021,89.3,35,3.22,No,No,Yes,Yes
S-022,89.8,46,2.86,No,No,No,Yes
S-023,91.6,24,,Yes,No,Yes,Yes
S-024,86.3,60,2.52,No,No,Yes,Yes
S-025,75.1,27,,Yes,Yes,Yes,Yes
S-026,94.6,15,3.36,No,Yes,Yes,Yes
S-027,15.6,15,2.39,No,Yes,No,No
S-028,92.3,86,2.97,No,No,No,Yes
S-029,89.8,66,3.75,No,No,Yes,Yes
S-030,28.2,21,3.11,No,No,No,No
S-031,80.4,17,,Yes,No,No,Yes
S-032,97.9,40,2.78,No,No,Yes,Yes
S-033,95.0,68,3.7,No,Yes,Yes,Yes
S-034,34.4,30,,Yes,No,No,No
S-035,96.1,17,3.13,No,No,No,Yes
S-036,92.2,33,3.17,No,Yes,Yes,Yes
S-037,93.0,31,3.51,No,No,Yes,Yes
S-038,82.9,34,,Yes,No,No,Yes
S-039,87.6,27,2.91,No,No,Yes,Yes
S-040,82.1,36,2.92,No,No,No,Yes
S-041,98.9,18,3.27,No,No,No,Yes
S-042,79.2,37,3.7,No,No,No,Yes
S-043,83.1,74,2.75,No,No,No,Yes
S-044,19.8,66,2.75,No,Yes,Yes,No
S-045,84.9,25,,Yes,No,No,Yes
